Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000198187877-0161-s_lc.fits,1535,TIC 198187877,206.88396963770433,0.0926261765526283,3,3,0,,notEB,[3.0477748 3.3547466 3.5000644 3.2313726 3.0507007]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000198236604-0161-s_lc.fits,1554,TIC 198236604,749.795359775257,0.2973811704563235,4,4,0,,notEB,[4.0096235 3.945205  4.0214777 4.0084476 3.919463 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000198242676-0161-s_lc.fits,1560,TIC 198242676,21248.632253910404,0.4046052260011044,4,4,0,,EB,[4.3294744 4.345324  4.3496957 4.3294744 4.340768 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000198242678-0161-s_lc.fits,1573,TIC 198242678,21892.66034281615,0.4046089913787802,4,4,0,,EB,[4.3583784 4.359019  4.363751  4.359615  4.3629155]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000198382838-0161-s_lc.fits,1569,TIC 198382838,1320.468979500383,0.00703571707288093,11,11,0,,EB,[11.351297 11.315675 11.416908 11.322023 11.296556]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000198418712-0161-s_lc.fits,1536,TIC 198418712,105.38838815114148,0.3433045148209475,3,3,0,,notEB,[2.9785023 2.5996444 3.6814818 3.15764   3.664518 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000199688409-0161-s_lc.fits,1532,TIC 199688409,1597.1626870540963,0.34940212397821474,3,3,0,,EB,[3.2398837 3.3176653 3.3983235 3.2712085 3.2372587]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000199688472-0161-s_lc.fits,1547,TIC 199688472,224.11382399070988,0.16243771490073575,6,5,1,,notEB,[5.64992827 5.38624659 6.81490487 5.58205789 5.32870146]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000199716496-0161-s_lc.fits,1551,TIC 199716496,6149.3573531662805,0.24735733055702436,3,3,0,,EB,[3.3358195 3.359437  3.3784838 3.3699694 3.3661647]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000229585356-0161-s_lc.fits,1549,TIC 229585356,7789.453233118726,0.4304660926205084,3,3,0,,EB,[3.4123974 3.3915617 3.4358156 3.4206662 3.4257429]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000229686919-0161-s_lc.fits,1576,TIC 229686919,112.87835403242045,0.023625107730827467,23,6,0,,notEB,[ 1.563224    2.566398   23.876272    0.38855323  2.0700734 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000229752137-0161-s_lc.fits,1581,TIC 229752137,197.31035608166732,0.3508303842197469,3,3,0,,notEB,[3.1665578 2.8551192 3.3403535 3.0003877 2.877173 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000229776076-0161-s_lc.fits,1580,TIC 229776076,7143.282440585098,0.39060944912645296,6,6,0,,EB,[6.0064507 6.028027  6.0468407 6.0409675 6.028731 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000229914020-0161-s_lc.fits,1543,TIC 229914020,228.90901852752052,0.0741598360537164,6,5,2,,EB,[5.52455761 5.53593721 6.02351517 5.01032387 5.6252034 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000230114503-0161-s_lc.fits,1558,TIC 230114503,211.4719473798658,0.2986458844303755,7,7,0,,notEB,[6.887239  7.080626  7.664193  7.0780063 7.067786 ]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000232625701-0161-s_lc.fits,1587,TIC 232625701,118.9950295018692,0.13521148820875145,3,3,1,,notEB,[3.03394349 3.25404557 3.56418653 3.30983711 3.20680789]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000232629077-0161-s_lc.fits,1593,TIC 232629077,1738.7301579714992,0.3820849857547963,4,3,0,,EB,[3.9882421 3.9850297 4.006991  3.9795508 3.8831575]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000233006012-0161-s_lc.fits,1591,TIC 233006012,203.68397187648773,0.09023907846855883,32,8,1,,EB,[ 3.17623224  1.71539901 32.84079401  2.59771778  4.02363802]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000233059604-0161-s_lc.fits,1579,TIC 233059604,132.38034885189654,0.0029314271273285946,23,5,2,,notEB,[  2.54782566  -2.74473844  23.13940874 -12.89011733  16.26418622]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000233060062-0161-s_lc.fits,1575,TIC 233060062,133.1825624728005,0.2841277508190661,3,3,0,,notEB,[3.2182276 3.4972687 3.6561873 3.139686  3.3416543]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000233532554-0161-s_lc.fits,1530,TIC 233532554,27154.086447595353,0.5283101677857389,3,3,0,,EB,[3.923437  3.9171383 3.9246688 3.9221425 3.9196053]
