,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
3254,TIC 329248002,2971.949013228558,0.4351156187040213,4,4,0,,EB,[4.465791  4.445936  4.5290103 4.4202266 4.456243 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000329248002-0177-s_lc.fits
3255,TIC 198236604,1335.192744785121,0.1363490114927617,11,6,0,,notEB,[ 6.070041   4.7403674 11.678185   4.687432   4.1054378],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3256,TIC 198236604,250.84002302896923,0.12557157947445372,17,3,1,,notEB,[-0.12854166 -0.12879538 17.11477935 -0.14365567 -0.14883865],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3257,TIC 198236604,178.19025368274805,0.14618536895361822,17,3,2,,notEB,[-0.15290877 -0.16947924 17.56785105 -0.23695541 -0.2422923 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3258,TIC 198236604,1335.192744785121,0.1363490114927617,11,6,0,,notEB,[ 6.070041   4.7403674 11.678185   4.687432   4.1054378],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3259,TIC 198236604,250.84002302896923,0.12557157947445372,17,3,1,,notEB,[-0.12854166 -0.12879538 17.11477935 -0.14365567 -0.14883865],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3260,TIC 198236604,178.19025368274805,0.14618536895361822,17,3,2,,notEB,[-0.15290877 -0.16947924 17.56785105 -0.23695541 -0.2422923 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3261,TIC 198236604,1335.192744785121,0.1363490114927617,11,6,0,,notEB,[ 6.070041   4.7403674 11.678185   4.687432   4.1054378],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3262,TIC 198236604,250.84002302896923,0.12557157947445372,17,3,1,,notEB,[-0.12854166 -0.12879538 17.11477935 -0.14365567 -0.14883865],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3263,TIC 198236604,178.19025368274805,0.14618536895361822,17,3,2,,notEB,[-0.15290877 -0.16947924 17.56785105 -0.23695541 -0.2422923 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198236604-0177-s_lc.fits
3264,TIC 230383826,215.82740415522258,0.29135058217743975,3,3,0,,notEB,[3.0766153 2.4825952 3.4981184 3.4097593 3.0927777],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230383826-0177-s_lc.fits
3265,TIC 230383826,215.82740415522258,0.29135058217743975,3,2,1,,notEB,[2.92868059 1.76897755 3.76296422 3.59443474 2.97558726],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230383826-0177-s_lc.fits
3266,TIC 230383826,215.82740415522258,0.29135058217743975,3,3,0,,notEB,[3.0766153 2.4825952 3.4981184 3.4097593 3.0927777],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230383826-0177-s_lc.fits
3267,TIC 230383826,215.82740415522258,0.29135058217743975,3,2,1,,notEB,[2.92868059 1.76897755 3.76296422 3.59443474 2.97558726],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230383826-0177-s_lc.fits
3268,TIC 199716496,4951.428275856622,0.25644933804542636,3,3,0,,EB,[3.216085  3.2005289 3.2454534 3.206018  3.1865666],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199716496-0177-s_lc.fits
3269,TIC 392536805,162.24388522508187,0.16526626261327712,7,7,0,,notEB,[7.540399  7.6042433 7.6797776 7.4291344 7.530452 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000392536805-0177-s_lc.fits
3270,TIC 392536805,144.795274855265,0.0396462803431929,16,15,1,,EB,[15.89186094 16.06239408 16.46840593 15.23586996 15.60536525],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000392536805-0177-s_lc.fits
3271,TIC 392536805,162.24388522508187,0.16526626261327712,7,7,0,,notEB,[7.540399  7.6042433 7.6797776 7.4291344 7.530452 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000392536805-0177-s_lc.fits
3272,TIC 392536805,144.795274855265,0.0396462803431929,16,15,1,,EB,[15.89186094 16.06239408 16.46840593 15.23586996 15.60536525],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000392536805-0177-s_lc.fits
3273,TIC 269664165,144.795274855265,0.0396462803431929,8,2,0,,notEB,[0.18439767 0.11156949 8.69019    0.10600242 0.17654902],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000269664165-0177-s_lc.fits
3274,TIC 269664165,144.795274855265,0.0396462803431929,8,2,0,,notEB,[0.18439767 0.11156949 8.69019    0.10600242 0.17654902],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000269664165-0177-s_lc.fits
3275,TIC 269664165,144.795274855265,0.0396462803431929,8,2,0,,notEB,[0.18439767 0.11156949 8.69019    0.10600242 0.17654902],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000269664165-0177-s_lc.fits
3276,TIC 424388625,114.2586720497365,0.054262709172481674,9,8,0,,notEB,[9.522279 8.802776 8.096896],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000424388625-0177-s_lc.fits
3277,TIC 424388625,114.2586720497365,0.054262709172481674,3,1,1,,notEB,[ 1.73161946 -0.03608638  3.80107333 -0.14641884  1.92553011],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000424388625-0177-s_lc.fits
3278,TIC 199688472,219.49104995433197,0.16880674083471325,6,5,0,,notEB,[5.500615  4.9328938 6.308289  4.6918025 4.99412  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
3279,TIC 199688472,217.75729817953496,0.17037425464192507,6,5,1,,notEB,[5.34904246 4.76267108 6.17186999 4.5136595  4.83181539],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
3280,TIC 199688472,219.49104995433197,0.16880674083471325,6,5,0,,notEB,[5.500615  4.9328938 6.308289  4.6918025 4.99412  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
3281,TIC 199688472,217.75729817953496,0.17037425464192507,6,5,1,,notEB,[5.34904246 4.76267108 6.17186999 4.5136595  4.83181539],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
3282,TIC 199688472,219.49104995433197,0.16880674083471325,6,5,0,,notEB,[5.500615  4.9328938 6.308289  4.6918025 4.99412  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
3283,TIC 199688472,217.75729817953496,0.17037425464192507,6,5,1,,notEB,[5.34904246 4.76267108 6.17186999 4.5136595  4.83181539],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688472-0177-s_lc.fits
3284,TIC 229914020,246.49377370732543,0.3527739334399109,3,3,0,,notEB,[3.180252  3.341813  3.9497957 3.5259764 3.631391 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229914020-0177-s_lc.fits
3285,TIC 356015357,3647.2869692696413,0.27161235659776367,9,9,0,,EB,[9.288824 9.307959 9.386929 9.280967 9.229298],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000356015357-0177-s_lc.fits
3286,TIC 229944718,256.04721468475464,0.14009976921687584,15,3,0,,notEB,[ 0.27308404  0.15133989 15.174155    0.17760591  0.15440671],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229944718-0177-s_lc.fits
3287,TIC 229944718,66.68994787384884,0.0976503608941316,24,4,1,,notEB,[-0.73207442 -0.72772247 24.27243919 -0.70421962 -1.89400151],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229944718-0177-s_lc.fits
3288,TIC 229944718,256.04721468475464,0.14009976921687584,15,3,0,,notEB,[ 0.27308404  0.15133989 15.174155    0.17760591  0.15440671],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229944718-0177-s_lc.fits
3289,TIC 229944718,66.68994787384884,0.0976503608941316,24,4,1,,notEB,[-0.73207442 -0.72772247 24.27243919 -0.70421962 -1.89400151],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229944718-0177-s_lc.fits
3290,TIC 359675849,2990.2847368054713,0.4348971059589207,4,3,0,,EB,[3.9887075 3.9455295 4.021478  3.9982996 4.0033507],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000359675849-0177-s_lc.fits
3291,TIC 258829052,2681.711449261449,0.19927700516209185,8,5,0,,EB,[4.001499  3.582814  8.805077  4.301639  4.1296887],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000258829052-0177-s_lc.fits
3292,TIC 199688409,1562.3645611424695,0.3667553404345043,3,3,0,,EB,[3.2991145 3.322741  3.4077044 3.320458  3.1883218],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000199688409-0177-s_lc.fits
3293,TIC 160472514,6585.468291167384,0.4909330704522193,3,3,0,,EB,[2.9987957 3.011649  3.0223691 3.0068347 3.0010579],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160472514-0177-s_lc.fits
3294,TIC 219777482,183.63434177425864,0.23925588733220168,5,5,0,,notEB,[5.3556805 5.114607  5.6344337 4.9795065 4.3884106],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
3295,TIC 219777482,183.63434177425864,0.23925588733220168,4,0,1,,notEB,[-1.10506064  0.01313799  4.92240828 -0.66816616 -0.26993614],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
3296,TIC 219777482,183.63434177425864,0.23925588733220168,5,5,0,,notEB,[5.3556805 5.114607  5.6344337 4.9795065 4.3884106],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
3297,TIC 219777482,183.63434177425864,0.23925588733220168,4,0,1,,notEB,[-1.10506064  0.01313799  4.92240828 -0.66816616 -0.26993614],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
3298,TIC 219777482,183.63434177425864,0.23925588733220168,5,5,0,,notEB,[5.3556805 5.114607  5.6344337 4.9795065 4.3884106],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
3299,TIC 219777482,183.63434177425864,0.23925588733220168,4,0,1,,notEB,[-1.10506064  0.01313799  4.92240828 -0.66816616 -0.26993614],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000219777482-0177-s_lc.fits
3300,TIC 420129036,183.63434177425864,0.23925588733220168,7,1,0,,notEB,[0.2774115  0.26245087 7.5121713  0.29327214 0.37345546],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000420129036-0177-s_lc.fits
3301,TIC 356820646,3030.610545451228,0.2929536343633884,3,3,0,,EB,[3.021117  3.0593677 3.0798042 3.0100088 2.9698696],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000356820646-0177-s_lc.fits
3302,TIC 160585813,237.94316202986988,0.3502154169352183,5,5,0,,notEB,[5.307376  4.832234  5.5379996 5.241353  5.485317 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000160585813-0177-s_lc.fits
